,Recency,Monetary,Frequency,Average,Count,Amount
111,282,846.74,2,3020.825686567164,67,917.38
112,185,8902.81,16,3020.825686567164,67,5298.72
113,276,311.8,2,3020.825686567164,67,482.15
114,219,781.8,3,3020.825686567164,67,889.34
115,198,945.0,1,3110.9663829787237,47,1411.66
116,183,1199.39,4,3020.825686567164,67,1938.85
117,260,239.4,2,3020.825686567164,67,0.0
118,362,549.08,1,1054.2085714285715,7,639.08
119,305,168.8,1,3020.825686567164,67,81.8
120,203,4502.35,4,3020.825686567164,67,3135.18
121,302,225.60000000000002,1,3110.9663829787237,47,538.64
122,242,2622.481,1,3020.825686567164,67,0.0
123,231,211.15,1,3110.9663829787237,47,0.0
124,189,958.5,2,1369.7436363636364,11,0.0
125,191,395.1,2,3110.9663829787237,47,0.0
126,218,8874.67,3,3110.9663829787237,47,7778.05
127,182,7324.1,13,3110.9663829787237,47,9756.64
128,187,6772.38,12,3110.9663829787237,47,4973.31
129,211,2290.08,4,3110.9663829787237,47,1930.1299999999999
130,273,110.95,1,3110.9663829787237,47,0.0
131,226,743.36,2,3110.9663829787237,47,81.66
132,226,339.75,1,3020.825686567164,67,0.0
133,189,1469.42,3,3020.825686567164,67,179.28
134,269,722.98,3,3020.825686567164,67,0.0
135,224,1425.78,5,3020.825686567164,67,1175.41
136,187,12948.15,11,3020.825686567164,67,8408.67
137,247,1339.05,2,3020.825686567164,67,0.0
138,204,1102.75,4,3020.825686567164,67,1694.78
139,226,5077.82,4,3110.9663829787237,47,4307.03
140,226,277.93,1,3583.9175,4,0.0
141,207,1228.95,2,1369.7436363636364,11,1037.81
142,183,536.88,2,3110.9663829787237,47,868.62
143,183,1293.75,2,3110.9663829787237,47,405.08000000000004
144,208,2835.54,2,3110.9663829787237,47,4044.2599999999998
145,325,1130.22,1,797.745,6,910.7
146,261,1201.52,1,1825.1025,4,0.0
147,227,1252.95,1,4037.77,1,2784.82
148,210,658.48,2,71361.812,5,266.93
149,180,2339.87,9,1867.5143861460956,3970,2740.66
150,182,7264.45,47,1867.5143861460956,3970,15615.21
151,270,147.41,3,1620.3366666666668,6,5071.299999999999
152,184,6015.7,4,1324.745,18,1095.95
153,200,1703.68,2,12217.545454545454,22,1785.6200000000001
154,222,528.3,3,12217.545454545454,22,876.28
155,200,124.25,1,1324.745,18,0.0
156,303,55.5,1,1324.745,18,0.0
157,238,378.6,1,12217.545454545454,22,574.85
158,284,690.68,2,1783.8999999999999,2,2050.23
159,234,337.4,1,12217.545454545454,22,0.0
160,367,366.9,1,1324.745,18,421.55
161,245,728.5,1,12217.545454545454,22,0.0
162,329,89.25,1,12217.545454545454,22,92.25
163,236,555.11,4,12217.545454545454,22,308.40000000000003
164,264,381.0,1,12217.545454545454,22,0.0
165,312,403.33000000000004,2,1324.745,18,180.92
166,199,774.25,1,12217.545454545454,22,1214.59
167,241,520.2,2,12217.545454545454,22,914.75
168,208,2843.96,2,12217.545454545454,22,35.0
169,201,1266.63,2,1324.745,18,0.0
170,312,159.66,1,1620.3366666666668,6,375.33
171,214,1065.8,2,12217.545454545454,22,622.0
172,199,1083.3,4,1867.5143861460956,3970,663.88
173,247,128.07999999999998,1,1867.5143861460956,3970,0.0
174,190,1940.5,7,1867.5143861460956,3970,2801.5
175,277,214.82999999999998,1,1867.5143861460956,3970,303.8
176,357,458.20000000000005,1,1867.5143861460956,3970,1022.83
177,186,92.30000000000001,1,1867.5143861460956,3970,0.0
178,182,4690.26,31,1867.5143861460956,3970,1353.05
179,187,2189.16,6,1867.5143861460956,3970,1783.6000000000001
180,205,554.31,1,1867.5143861460956,3970,0.0
181,190,539.84,3,1867.5143861460956,3970,2175.51
182,214,2161.98,7,1867.5143861460956,3970,2318.33
183,185,641.69,2,1867.5143861460956,3970,673.51
184,373,397.20000000000005,1,1867.5143861460956,3970,401.8
185,185,2994.53,9,1867.5143861460956,3970,1891.6200000000001
186,229,123.03,1,1867.5143861460956,3970,199.60999999999999
187,318,15.58,1,1867.5143861460956,3970,0.0
188,311,208.0,1,1867.5143861460956,3970,0.0
189,227,472.29,1,1867.5143861460956,3970,1567.38
190,186,924.04,2,1867.5143861460956,3970,1026.3600000000001
191,197,1669.52,4,1867.5143861460956,3970,0.0
192,225,644.65,2,1867.5143861460956,3970,1936.95
193,329,55.47,1,1867.5143861460956,3970,0.0
194,255,68.25,1,1867.5143861460956,3970,0.0
195,183,1364.85,3,1867.5143861460956,3970,906.5
196,214,1638.77,3,1867.5143861460956,3970,2237.7
197,317,337.66999999999996,1,1867.5143861460956,3970,0.0
198,260,209.3,1,1867.5143861460956,3970,1467.65
199,217,1600.2,5,1867.5143861460956,3970,1485.32
200,317,492.4,1,1867.5143861460956,3970,1160.9
201,190,489.26,1,1681.608125,16,459.15999999999997
202,238,659.52,2,1867.5143861460956,3970,354.24
203,226,885.5400000000001,1,1681.608125,16,978.23
204,190,606.76,3,1867.5143861460956,3970,812.64
205,210,337.18,1,1867.5143861460956,3970,302.95
206,183,199.5,4,1867.5143861460956,3970,310.0
207,211,157.35,1,1867.5143861460956,3970,0.0
208,295,158.32,1,1867.5143861460956,3970,152.64000000000001
209,212,1018.42,2,1867.5143861460956,3970,0.0
210,266,318.0,1,1867.5143861460956,3970,708.0
211,200,586.61,2,1867.5143861460956,3970,337.90999999999997
212,257,1017.96,1,1867.5143861460956,3970,1703.52
213,187,1680.47,1,1867.5143861460956,3970,0.0
214,206,1903.74,5,1867.5143861460956,3970,2313.49
215,225,206.3,1,1867.5143861460956,3970,604.8
216,243,1155.62,2,1867.5143861460956,3970,492.25
217,214,2102.0,2,1867.5143861460956,3970,1663.1999999999998
218,262,10953.5,1,1867.5143861460956,3970,0.0
219,207,323.86,3,1867.5143861460956,3970,0.0
220,200,8580.86,14,1867.5143861460956,3970,10753.09
221,211,426.2,1,1867.5143861460956,3970,186.7
222,198,1147.99,5,1867.5143861460956,3970,387.71000000000004
223,228,35.28,1,1867.5143861460956,3970,0.0
224,283,612.4,2,1867.5143861460956,3970,936.0600000000001
225,185,484.79,1,1867.5143861460956,3970,1757.4
226,185,19622.66,24,1867.5143861460956,3970,30668.72
227,185,1562.06,7,1867.5143861460956,3970,136.5
228,365,155.79,1,1867.5143861460956,3970,923.71
229,372,181.65,1,1867.5143861460956,3970,0.0
230,213,831.65,4,1867.5143861460956,3970,1251.51
231,186,902.44,3,1867.5143861460956,3970,690.9
232,185,2250.0,5,1867.5143861460956,3970,11433.0
233,360,377.49,1,1867.5143861460956,3970,0.0
234,194,496.5,2,1867.5143861460956,3970,0.0
235,292,437.16,1,1867.5143861460956,3970,0.0
236,366,252.48000000000002,2,1867.5143861460956,3970,0.0
237,235,5276.51,8,1867.5143861460956,3970,6082.97
238,214,705.6,4,1867.5143861460956,3970,1444.05
239,274,162.45,1,1867.5143861460956,3970,0.0
240,320,413.82,3,1867.5143861460956,3970,0.0
241,241,3437.3,3,1867.5143861460956,3970,1252.13
242,219,166.89,1,1867.5143861460956,3970,372.6
243,213,733.57,2,1867.5143861460956,3970,588.5
244,238,122.45,1,1867.5143861460956,3970,0.0
245,371,260.64,1,1867.5143861460956,3970,812.09
246,180,2174.25,9,1867.5143861460956,3970,2608.63
247,218,1019.0400000000001,3,1867.5143861460956,3970,142.16000000000003
248,201,264.15,1,1867.5143861460956,3970,0.0
249,369,441.63,1,1867.5143861460956,3970,1658.46
250,210,1619.02,4,1867.5143861460956,3970,798.76
251,281,1946.46,4,1867.5143861460956,3970,556.36
252,365,517.7,1,1825.1025,4,0.0
253,206,3513.48,5,1867.5143861460956,3970,5357.400000000001
254,197,1372.22,3,1867.5143861460956,3970,982.05
255,234,490.08000000000004,1,1867.5143861460956,3970,0.0
256,186,1108.8200000000002,4,1867.5143861460956,3970,1621.02
257,246,460.68,2,1867.5143861460956,3970,292.83
258,192,3340.14,11,1867.5143861460956,3970,3287.5
259,255,117.0,1,1867.5143861460956,3970,429.0
260,361,93.35000000000001,1,1867.5143861460956,3970,0.0
261,267,436.45,2,1867.5143861460956,3970,408.42
262,218,274.7,2,1867.5143861460956,3970,609.32
263,246,604.1,2,1867.5143861460956,3970,315.98
264,361,497.65000000000003,1,1867.5143861460956,3970,0.0
265,180,7719.11,10,1867.5143861460956,3970,6634.17
266,196,3343.86,10,1867.5143861460956,3970,2651.08
267,215,175.25,1,1867.5143861460956,3970,0.0
268,359,189.31,1,1867.5143861460956,3970,193.35
269,308,234.0,1,1867.5143861460956,3970,0.0
270,284,177.12,1,1867.5143861460956,3970,153.0
271,228,381.89,1,1867.5143861460956,3970,929.1
272,182,3859.8900000000003,7,1867.5143861460956,3970,3954.94
273,228,1259.85,2,1867.5143861460956,3970,1980.29
274,206,1464.35,5,1867.5143861460956,3970,1021.11
275,201,780.85,4,1867.5143861460956,3970,449.1
276,198,618.96,2,1867.5143861460956,3970,0.0
277,229,962.39,3,1867.5143861460956,3970,1308.47
278,218,247.83,1,1867.5143861460956,3970,308.04
279,367,323.39,1,1867.5143861460956,3970,0.0
280,227,696.88,3,1867.5143861460956,3970,60.839999999999996
281,199,4464.0,7,1867.5143861460956,3970,5959.2
282,190,978.24,1,1867.5143861460956,3970,2441.03
283,320,307.1,1,1867.5143861460956,3970,0.0
284,227,1733.86,5,1867.5143861460956,3970,1300.02
285,220,1010.73,4,1867.5143861460956,3970,0.0
286,225,256.16,1,1867.5143861460956,3970,542.97
287,234,1556.54,3,1867.5143861460956,3970,0.0
288,198,3460.85,8,1867.5143861460956,3970,832.58
289,191,3047.2200000000003,7,1867.5143861460956,3970,2510.4
290,199,919.35,3,1867.5143861460956,3970,1328.95
291,182,2579.98,7,1867.5143861460956,3970,3927.69
292,214,155.8,2,1867.5143861460956,3970,0.0
293,186,2064.83,4,1867.5143861460956,3970,755.5500000000001
294,257,127.65,1,1867.5143861460956,3970,0.0
295,187,209.48,1,1867.5143861460956,3970,0.0
296,267,353.49,1,1867.5143861460956,3970,368.6
297,183,881.48,3,1867.5143861460956,3970,1238.29
298,186,561.25,2,1867.5143861460956,3970,0.0
299,183,187.57,1,1867.5143861460956,3970,867.48
300,225,308.4,2,1867.5143861460956,3970,214.5
301,248,129.22,1,1867.5143861460956,3970,0.0
302,253,1062.24,3,1867.5143861460956,3970,316.5
303,225,974.54,3,1867.5143861460956,3970,1360.8600000000001
304,180,8187.42,16,1867.5143861460956,3970,8717.09
305,197,160.75,2,1867.5143861460956,3970,61.9
306,196,14345.23,8,1867.5143861460956,3970,16522.54
307,186,2153.54,6,1867.5143861460956,3970,1568.58
308,315,2017.2,6,1867.5143861460956,3970,0.0
309,362,313.64,1,1867.5143861460956,3970,0.0
310,185,21611.05,44,1867.5143861460956,3970,36300.98
311,365,1976.0,2,1867.5143861460956,3970,0.0
312,183,1095.95,4,1867.5143861460956,3970,566.5
313,182,14554.33,18,1867.5143861460956,3970,32556.85
314,206,4409.82,11,1867.5143861460956,3970,2968.98
315,197,449.31,2,1867.5143861460956,3970,144.9
316,200,839.95,2,1867.5143861460956,3970,4432.88
317,213,123.34,1,1867.5143861460956,3970,342.36
318,289,96.66,1,1867.5143861460956,3970,513.96
319,246,1302.33,2,1867.5143861460956,3970,2419.12
320,187,347.49,1,1867.5143861460956,3970,0.0
321,192,947.7,4,1867.5143861460956,3970,521.1
322,354,321.88000000000005,1,1867.5143861460956,3970,0.0
323,194,1942.94,3,1867.5143861460956,3970,4436.83
324,366,234.38,1,1867.5143861460956,3970,0.0
325,207,959.04,2,1867.5143861460956,3970,2240.88
326,215,407.25,3,1867.5143861460956,3970,1251.6499999999999
327,304,134.9,1,1867.5143861460956,3970,0.0
328,231,782.29,2,1867.5143861460956,3970,1116.32
329,267,263.5,1,1867.5143861460956,3970,0.0
330,190,1393.58,3,1867.5143861460956,3970,846.89
331,222,1931.07,2,1867.5143861460956,3970,1735.88
332,185,2426.18,6,1867.5143861460956,3970,2853.65
333,220,405.1,1,1867.5143861460956,3970,0.0
334,235,102.0,1,1867.5143861460956,3970,703.0
335,203,2824.52,7,1867.5143861460956,3970,2090.17
336,266,176.51999999999998,1,1867.5143861460956,3970,273.45
337,261,1322.8700000000001,2,1867.5143861460956,3970,0.0
338,205,1334.69,4,1867.5143861460956,3970,811.69
339,371,337.1,1,1867.5143861460956,3970,1287.74
340,304,1239.6,2,1867.5143861460956,3970,346.94
341,210,1805.86,2,1867.5143861460956,3970,2140.28
342,180,6628.8,9,1867.5143861460956,3970,958.4
343,246,17.65,1,1867.5143861460956,3970,0.0
344,205,372.2,2,1867.5143861460956,3970,0.0
345,198,127.2,1,1867.5143861460956,3970,0.0
346,197,1724.8500000000001,8,1867.5143861460956,3970,560.85
347,203,3928.38,6,1867.5143861460956,3970,2749.43
348,218,831.45,2,1867.5143861460956,3970,0.0
349,185,5188.72,6,1867.5143861460956,3970,3145.0
350,254,572.3100000000001,1,1867.5143861460956,3970,0.0
351,243,86.10000000000001,1,1867.5143861460956,3970,0.0
352,218,879.0600000000001,2,1867.5143861460956,3970,2199.34
353,260,130.99,3,1867.5143861460956,3970,0.0
354,180,570.66,3,1867.5143861460956,3970,0.0
355,294,164.69,1,1867.5143861460956,3970,0.0
356,227,1365.97,2,1867.5143861460956,3970,280.67
357,253,199.97,1,1867.5143861460956,3970,1071.09
358,245,373.01000000000005,1,1867.5143861460956,3970,0.0
359,184,3277.01,14,1867.5143861460956,3970,3338.76
360,200,653.08,2,1867.5143861460956,3970,587.53
361,180,1221.63,5,1867.5143861460956,3970,358.67
362,267,460.22,2,1867.5143861460956,3970,1318.57
363,367,966.6600000000001,1,1867.5143861460956,3970,0.0
364,200,7533.04,11,1867.5143861460956,3970,844.28
365,248,214.20000000000002,1,1867.5143861460956,3970,71.4
366,372,61.12,1,1867.5143861460956,3970,703.48
367,217,2126.5,4,1867.5143861460956,3970,491.4
368,215,688.15,4,1867.5143861460956,3970,843.75
369,204,295.55,1,1867.5143861460956,3970,2035.39
370,218,1957.83,3,1867.5143861460956,3970,1306.4
371,291,132.5,1,1867.5143861460956,3970,0.0
372,254,76.23,1,1867.5143861460956,3970,0.0
373,211,516.8,1,1867.5143861460956,3970,0.0
374,213,88.5,1,1867.5143861460956,3970,0.0
375,208,402.72,2,1867.5143861460956,3970,403.20000000000005
376,242,5842.07,5,1867.5143861460956,3970,3954.1600000000003
377,190,863.35,5,1867.5143861460956,3970,2690.46
378,330,290.63,1,1867.5143861460956,3970,280.71
379,308,356.95,2,1867.5143861460956,3970,0.0
380,226,117.0,1,1867.5143861460956,3970,188.9
381,236,269.47,3,1867.5143861460956,3970,805.4
382,198,214.5,2,1867.5143861460956,3970,214.5
383,267,292.66,1,1867.5143861460956,3970,385.31
384,224,305.6,3,1867.5143861460956,3970,591.92
385,261,346.9,1,1867.5143861460956,3970,52.4
386,339,974.39,1,1867.5143861460956,3970,946.32
387,208,827.01,6,1867.5143861460956,3970,314.05
388,236,232.41,1,1867.5143861460956,3970,140.75
389,199,1317.72,4,1867.5143861460956,3970,983.06
390,214,2431.86,7,1867.5143861460956,3970,2804.9100000000003
391,231,1564.99,7,1867.5143861460956,3970,1980.48
392,268,180.16,1,1867.5143861460956,3970,61.5
393,278,396.83,1,1867.5143861460956,3970,951.5
394,246,297.69,1,1867.5143861460956,3970,595.43
395,280,478.5,1,1867.5143861460956,3970,1029.27
396,203,279.7,2,1867.5143861460956,3970,0.0
397,236,655.47,2,1867.5143861460956,3970,0.0
398,236,734.91,1,1867.5143861460956,3970,0.0
399,239,781.59,3,1867.5143861460956,3970,0.0
400,288,548.64,2,1867.5143861460956,3970,378.97
401,359,307.95,1,1867.5143861460956,3970,0.0
402,204,1125.1,4,1867.5143861460956,3970,1834.63
403,229,746.13,3,1867.5143861460956,3970,446.81
404,282,815.79,1,1867.5143861460956,3970,0.0
405,212,306.5,1,1867.5143861460956,3970,594.27
406,184,299.13,2,1867.5143861460956,3970,405.98
407,210,314.98,1,1867.5143861460956,3970,598.64
408,182,616.15,2,1867.5143861460956,3970,301.42
409,275,415.78000000000003,1,1867.5143861460956,3970,1338.07
410,228,227.74,1,1867.5143861460956,3970,30.599999999999998
411,232,284.86,1,1867.5143861460956,3970,0.0
412,186,1618.2,6,1867.5143861460956,3970,271.8
413,325,310.26,1,1867.5143861460956,3970,0.0
414,275,2017.3600000000001,1,1867.5143861460956,3970,5196.4800000000005
415,184,1769.02,5,1867.5143861460956,3970,2443.391
416,210,5148.09,16,1867.5143861460956,3970,6088.860000000001
417,199,350.15999999999997,1,1867.5143861460956,3970,3041.36
418,200,2986.85,6,1867.5143861460956,3970,3264.86
419,371,334.65,1,1867.5143861460956,3970,3989.32
420,201,1229.15,2,1867.5143861460956,3970,436.1
421,294,162.18,1,1867.5143861460956,3970,853.5600000000001
422,288,1191.6200000000001,1,1867.5143861460956,3970,1535.31
423,182,1575.26,1,1867.5143861460956,3970,0.0
424,196,1508.75,2,1867.5143861460956,3970,449.85
425,256,6986.0599999999995,3,1867.5143861460956,3970,4378.02
426,207,105.9,2,1867.5143861460956,3970,193.5
427,197,2316.94,3,1867.5143861460956,3970,911.47
428,330,715.15,2,1867.5143861460956,3970,838.5
429,253,817.25,1,1867.5143861460956,3970,633.25
430,268,1189.01,1,1867.5143861460956,3970,1108.65
431,257,2154.85,2,1867.5143861460956,3970,2120.09
432,281,815.32,1,1867.5143861460956,3970,737.56
433,200,2164.4700000000003,3,1867.5143861460956,3970,2420.59
434,254,655.65,3,1867.5143861460956,3970,508.94
435,239,508.55,1,1867.5143861460956,3970,0.0
436,313,91.14,1,1867.5143861460956,3970,0.0
437,219,1131.45,4,1867.5143861460956,3970,0.0
438,180,2744.32,7,1867.5143861460956,3970,1357.3600000000001
439,213,1339.34,4,1867.5143861460956,3970,308.4
440,218,310.83,1,1867.5143861460956,3970,0.0
441,200,290.6,1,1867.5143861460956,3970,623.3000000000001
442,359,78.6,1,1867.5143861460956,3970,75.9
443,205,532.76,2,1867.5143861460956,3970,108.60000000000001
444,267,140.16,1,1867.5143861460956,3970,428.76
445,214,2244.7,3,1867.5143861460956,3970,0.0
446,194,13597.222,25,1867.5143861460956,3970,10019.2
447,334,682.9200000000001,2,1867.5143861460956,3970,515.98
448,256,487.34999999999997,1,1867.5143861460956,3970,0.0
449,275,429.44,6,1867.5143861460956,3970,0.0
450,239,219.85999999999999,1,1867.5143861460956,3970,883.78
451,266,749.67,3,1867.5143861460956,3970,51.0
452,372,228.3,1,1867.5143861460956,3970,0.0
453,183,1028.66,4,1867.5143861460956,3970,0.0
454,200,2904.73,6,1867.5143861460956,3970,3201.44
455,299,819.49,3,1867.5143861460956,3970,1432.55
456,215,836.5600000000001,1,1867.5143861460956,3970,942.86
457,214,2164.67,5,1867.5143861460956,3970,2361.39
458,358,96.0,1,1867.5143861460956,3970,327.93
459,233,531.15,2,1867.5143861460956,3970,1515.99
460,207,439.1,2,1867.5143861460956,3970,0.0
461,239,410.73999999999995,2,1867.5143861460956,3970,247.57999999999998
462,291,339.18,1,1867.5143861460956,3970,793.44
463,183,46.5,1,1867.5143861460956,3970,0.0
464,303,419.87,3,1867.5143861460956,3970,0.0
465,189,1083.92,5,1867.5143861460956,3970,196.24
466,262,241.89999999999998,1,1867.5143861460956,3970,0.0
467,183,2776.64,8,1867.5143861460956,3970,1105.25
468,204,2740.1,4,1867.5143861460956,3970,2961.4
469,183,784.4,3,1867.5143861460956,3970,1291.92
470,208,2153.94,2,1867.5143861460956,3970,2060.83
471,277,219.87,1,1867.5143861460956,3970,0.0
472,229,914.8,3,1867.5143861460956,3970,932.79
473,324,148.22,2,1867.5143861460956,3970,0.0
474,260,1160.4099999999999,2,1867.5143861460956,3970,0.0
475,233,336.6,1,1867.5143861460956,3970,2378.4
476,273,526.46,3,1867.5143861460956,3970,475.89
477,254,299.34000000000003,1,1867.5143861460956,3970,2123.62
478,222,611.5,1,1867.5143861460956,3970,319.62
479,264,262.31,1,1867.5143861460956,3970,443.14
480,185,3595.29,16,1867.5143861460956,3970,4090.25
481,289,82.4,1,1867.5143861460956,3970,0.0
482,191,262.18,1,1867.5143861460956,3970,330.06
483,210,2235.12,6,1867.5143861460956,3970,0.0
484,280,240.8,1,1867.5143861460956,3970,582.2
485,225,809.84,2,1867.5143861460956,3970,569.75
486,268,1650.51,3,1867.5143861460956,3970,565.27
487,315,493.94,1,1867.5143861460956,3970,133.88
488,224,1156.04,3,1867.5143861460956,3970,870.24
489,263,151.45,1,1867.5143861460956,3970,0.0
490,275,165.78,1,1867.5143861460956,3970,311.14
491,197,1309.05,4,1867.5143861460956,3970,1255.93
492,370,103.95,1,1867.5143861460956,3970,167.52
493,207,1656.66,3,1867.5143861460956,3970,4962.91
494,290,154.25,1,1867.5143861460956,3970,0.0
495,187,2435.92,10,1867.5143861460956,3970,914.82
496,262,1210.51,3,1867.5143861460956,3970,2118.88
497,261,582.23,3,1867.5143861460956,3970,390.05
498,366,327.38,1,1867.5143861460956,3970,0.0
499,206,595.17,1,3224.2346153846156,13,949.62
500,184,307.9,1,1867.5143861460956,3970,180.6
501,192,1302.8700000000001,3,1867.5143861460956,3970,385.67
502,278,176.07999999999998,1,1867.5143861460956,3970,0.0
503,229,1312.79,3,1867.5143861460956,3970,1453.94
504,312,282.76,1,1867.5143861460956,3970,0.0
505,219,153.3,1,1867.5143861460956,3970,308.88
506,291,299.64,1,1867.5143861460956,3970,319.85
507,215,588.7,2,1867.5143861460956,3970,75.0
508,280,188.1,1,1867.5143861460956,3970,186.60000000000002
509,243,1795.88,3,3224.2346153846156,13,1489.17
510,374,1182.0,2,1867.5143861460956,3970,0.0
511,229,1349.16,3,1867.5143861460956,3970,1047.07
512,270,402.97999999999996,1,1867.5143861460956,3970,0.0
513,231,607.3100000000001,2,1867.5143861460956,3970,647.41
514,292,803.54,2,1867.5143861460956,3970,1028.34
515,217,346.09000000000003,2,1867.5143861460956,3970,591.9300000000001
516,291,369.25,2,1867.5143861460956,3970,263.14
517,206,310.35,1,1867.5143861460956,3970,474.9
518,183,2378.91,10,1867.5143861460956,3970,1627.26
519,270,1439.6100000000001,2,1867.5143861460956,3970,0.0
520,192,356.94,3,1867.5143861460956,3970,180.65
